account_id,account_name,account_type,industry,annual_revenue,number_of_employees,website,phone,fax,billing_street,billing_city,billing_state,billing_postal_code,billing_country,contact_id,contact_first_name,contact_last_name,contact_email,contact_phone,opportunity_id,opportunity_name,opportunity_stage,opportunity_amount,opportunity_close_date
d7e7ded8-3b1a-4b0f-aafd-13492541cb21,"Flores, Wade and Kim",Consultant,Technology,7000516.2,2693,http://ramirez.biz/,(555) 1625839,(555) 6692829,0900 Malone Street,Scottmouth,Connecticut,96203,Australia,9c1b24b0-6b5f-4669-9c7f-4ad81e844963,Lindsey,Golden,leearthur@example.net,(555) 1587604,8e522b66-0298-41c9-a510-0737ee6d3df2,Opportunity 40,Prospecting,370143.11,2024-12-24
373be185-34b2-46e3-900e-6615792618f4,Thornton-Perry,Distributor,Retail,2420509.1,1880,http://reed.com/,(555) 9695287,(555) 7608518,022 Jeffrey Land,Lake Donaldville,Maryland,15592,Nauru,a10fecb4-a576-4588-9380-624ec88e469d,Jermaine,Gray,taylorvasquez@example.org,(555) 7876713,16977ee3-9ced-454c-afcb-5696112790b0,Opportunity 2,Closed Won,99494.02,2024-12-20
718fbd7e-d9ad-4113-b4ef-a2ebb23d22ac,Simmons-Brown,Partner,Retail,3798383.0,4600,http://www.olson.info/,(555) 7901129,(555) 5729015,4369 Williams Terrace,West Kristen,Wyoming,14008,Japan,153dc8d8-1da7-4ab5-87c7-b1c40170cba7,Kimberly,Golden,morganmichael@example.net,(555) 7063139,8b7ea410-608c-4824-bd1b-c79d03be49c6,Opportunity 28,Negotiation,137225.48,2024-12-14
88134e8d-9b08-44d3-8bee-3a5d1feb0375,Carney and Sons,Distributor,Retail,9897379.99,1190,http://barr-ruiz.info/,(555) 4344687,(555) 6857117,03789 James Junctions,North Julieland,New York,22964,France,2e9c5b9e-a6d4-4953-a8a5-808cc942336c,Scott,Cherry,cruzjoshua@example.com,(555) 1702299,61cab24c-36ae-4e46-9e26-1701a0c7390c,Opportunity 62,Qualification,444126.73,2024-11-26
4b3998bb-793e-41ad-b771-8ec68be739d0,Richard LLC,Reseller,Healthcare,1944080.22,3700,https://osborne.net/,(555) 7020040,(555) 9866094,9111 Angel Trail,Claudiaville,Alabama,14451,Turks and Caicos Islands,f663e9f7-f914-481a-93ad-5d84cac2cf15,Danny,Fernandez,james41@example.net,(555) 7903434,df745c56-a84f-41ca-98ff-a014dd49ac9a,Opportunity 62,Prospecting,398275.7,2024-12-19
dac49da8-f9d3-4f96-b9e3-7b89db139616,King-Dougherty,Partner,Healthcare,4011667.95,2970,http://wilson.org/,(555) 1577626,(555) 3872064,07025 Tabitha Mills Apt. 023,Hamiltonborough,Kansas,51973,Honduras,c3b60edf-dc00-4ed5-9363-06dfd5656ad6,Kelli,Hamilton,dcosta@example.net,(555) 9327200,b5abfd5f-d8ff-4678-99a5-ed254532274e,Opportunity 25,Proposal,466021.16,2024-10-27
86b2ef4d-7c0f-4f81-87d8-bac1b4aecde7,"Adams, Sanchez and Jacobs",Consultant,Manufacturing,7374768.67,28,https://waters-edwards.com/,(555) 3159061,(555) 1103380,50837 Thomas Lodge Suite 369,North Charleston,New Jersey,15360,Guinea-Bissau,33bb3242-e673-40d7-806c-f88f08abef55,Benjamin,Jackson,joshuashaw@example.com,(555) 7321923,a53641ff-624d-448c-b1b0-9aeeb094ccb5,Opportunity 32,Negotiation,265072.5,2024-11-03
5898435f-563b-4945-80d8-a8052c47346b,Wilson Ltd,Consultant,Retail,2919115.36,803,https://www.jackson.org/,(555) 3923397,(555) 6961542,85474 Hunt Bridge,East Bruce,Washington,85944,Saudi Arabia,b8b38b5d-8390-43b3-ae49-58ef6d51a550,Shannon,Martin,kyle11@example.org,(555) 7283250,971d004b-549a-4092-bc41-e1c98fb1411d,Opportunity 48,Prospecting,436509.01,2024-11-19
8aa26dca-f117-421d-95e3-9060e724d1f6,Smith-Morgan,Distributor,Technology,6182656.38,316,http://caldwell.net/,(555) 5922821,(555) 3076562,6159 Thornton Port Apt. 968,Beltranhaven,Pennsylvania,92448,Bolivia,baf0a543-9f6f-458e-9312-b828e4e321fc,Darin,Williamson,xgutierrez@example.org,(555) 9022861,4569a7ac-b990-4816-a112-e286e48b2ad5,Opportunity 47,Prospecting,248966.59,2024-09-30
396e3ef8-1af3-4d01-be08-a359b0bde291,Harris-Jones,Reseller,Manufacturing,4631343.96,4834,http://faulkner-jackson.com/,(555) 6055952,(555) 8948457,830 Parker Place Apt. 229,West Colleen,Kansas,50283,Korea,b60b9a40-1389-4293-b238-091bbcf3eb19,Andrew,Ball,penny27@example.net,(555) 1606619,a91b46ee-02bb-4ffb-9c06-bb770d157b83,Opportunity 86,Qualification,280997.69,2024-10-25
94727e4b-f8aa-4f76-9ec1-268097a3f01e,Harris-Perez,Reseller,Manufacturing,8935256.24,884,https://www.allen-gilbert.com/,(555) 4047511,(555) 8212587,4306 Jonathan Isle,Port Megan,Idaho,51820,Barbados,9bb703c8-5dfe-42d6-a267-a4165455b491,Gabriel,Kent,hartmanleslie@example.com,(555) 5589481,01a25d40-e39e-4f60-81cb-45128ecbb70e,Opportunity 86,Closed Lost,103027.48,2024-11-03
f009326d-a1e6-44f6-a0f5-89ea0085c31a,"Avery, Thomas and West",Consultant,Finance,7905451.21,883,http://www.moody-stevens.biz/,(555) 9555516,(555) 9531611,56265 Noah Garden,New Johnfort,Illinois,70258,Malta,24d600f0-8513-403c-84e7-260be9ccff76,Jillian,Williams,santoskyle@example.org,(555) 6746851,c6ba0355-6c9b-418e-8a87-de89e7696452,Opportunity 100,Prospecting,102011.73,2024-11-27
8179ff93-0b19-4ed7-8edf-c56851d6857d,Martin-Gardner,Consultant,Manufacturing,6792249.83,3700,https://www.smith-lopez.info/,(555) 7693022,(555) 3489238,9403 Palmer Fork,New Jeffrey,Wisconsin,56612,Saint Kitts and Nevis,85bce6a3-46d5-4d27-bd15-336d583909af,Jose,Stevens,michaelwilliams@example.com,(555) 6200576,391502a1-5b42-40df-80b6-7f2ff2de8ecf,Opportunity 97,Proposal,402156.92,2024-10-31
57cf3cdb-5668-4634-bb4e-076b7b672e50,Wells Ltd,Partner,Finance,340562.01,912,http://fox-holmes.com/,(555) 7766390,(555) 5078226,3601 Arthur Corner Apt. 001,Dakotafort,Pennsylvania,51412,Nepal,2311eebc-51ac-4d35-b14d-7887ec193222,Joanne,Salas,trevorjohnson@example.net,(555) 5647573,19319a58-cd22-4db8-ab47-321cd9a022cc,Opportunity 18,Qualification,421496.7,2024-10-27
a3c9aa39-8639-4bdb-9ce0-55d395a4e6c3,Morales-Atkinson,Customer,Healthcare,2253837.4,20,https://lee.com/,(555) 8703953,(555) 3289692,6749 James Village,Cassandraton,West Virginia,07019,Tonga,aeeef1d7-d7fe-4a3f-9192-9312a5473baf,Robert,Hall,lawrencenelson@example.com,(555) 7959245,06745279-77c3-4cc3-a727-f25a8c3bde13,Opportunity 78,Qualification,285469.97,2024-10-02
d4df6d60-5d23-425e-a721-8a37c348c41e,"Dixon, Allen and Kaiser",Reseller,Retail,3333143.6,2543,http://www.brown.com/,(555) 7924413,(555) 8419247,1754 Matthew Rue,Port Melindahaven,Indiana,85452,Aruba,4f32259f-e14f-4432-85e3-5125d8873009,Maria,Martinez,lori81@example.com,(555) 2778898,e2d4bccb-9705-4619-85b1-fafd3eeff4a5,Opportunity 64,Negotiation,144684.61,2024-11-11
